type,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belgium,Bermuda,Brazil,Bulgaria,Cambodia,Canada,Cayman Islands,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Dominican Republic,East Germany,Ecuador,Egypt,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Liechtenstein,Luxembourg,Malawi,Malaysia,Malta,Mexico,Montenegro,Morocco,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,"Poland,",Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Soviet Union,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United Kingdom,United States,Uruguay,Vatican City,Venezuela,Vietnam,West Germany
Movie,2,8,962,1217,131,372,1311,12,821,143,46,3644,20,368,1768,145,43,206,545,20,30,12,838,52,4366,54,2345,51,87,12,2015,95,91,17422,1089,98,4,337,257,674,2263,86,10,22,164,27,156,24,302,20,1368,20,87,48,397,249,1,809,268,449,2,52,137,1037,395,27,126,245,128,90,15,27,91,346,20,50,10,446,943,132,2597,2,10,471,303,146,830,1356,415,5685,30162,99,3,2,63,60
TV Show,,,,14,,,,,42,,,130,,,18,147,,,41,,,,,,66,,3,,3,,,,,72,,,,78,2,44,283,,,,,,,,,,90,,,,,,,,,18,,,,,,,,,,,,,,,,,,2,343,,186,,,,,219,,150,33,396,820,,,,,
