type,Action &amp; Adventure,Anime Features,Anime Series,British TV Shows,Children &amp; Family Movies,Classic &amp; Cult TV,Classic Movies,Comedies,Crime TV Shows,Cult Movies,Documentaries,Docuseries,Dramas,Faith &amp; Spirituality,Horror Movies,Independent Movies,International Movies,International TV Shows,Kids' TV,Korean TV Shows,LGBTQ Movies,Movies,Music &amp; Musicals,Reality TV,Romantic Movies,Romantic TV Shows,Sci-Fi &amp; Fantasy,Science &amp; Nature TV,Spanish-Language TV Shows,Sports Movies,Stand-Up Comedy,Stand-Up Comedy &amp; Talk Shows,TV Action &amp; Adventure,TV Comedies,TV Dramas,TV Horror,TV Mysteries,TV Sci-Fi &amp; Fantasy,TV Shows,TV Thrillers,Teen TV Shows,Thrillers
Movie,8251,669,,,5514,,889,13495,,865,1042,,19456,428,3239,7100,18908,,,,487,252,1748,,3805,,2903,,,1008,374,,,,,,,,,,,4573
TV Show,,,99,187,,16,,,304,,,44,,,,,,681,187,111,,,,4,,142,,7,114,,,20,253,176,483,45,66,107,47,78,29,
