type,actor,n
Movie,Aditi Mittal,1
Movie,Aditi Rao Hydari,12
Movie,Aditi Sharma,3
Movie,Aditi Vasudev,2
Movie,Aditya Bhattacharya,6
Movie,Aditya Hitkari,2
Movie,Aditya Lakhia,3
Movie,Aditya Narayan,3
Movie,Aditya Pancholi,2
Movie,Aditya Raj Sharma,2
Movie,Aditya Roy Kapoor,11
Movie,Aditya Sharma,2
Movie,Aditya Srivastava,6
Movie,Adjetey Anang,3
Movie,Adjoa Andoh,3
Movie,Adlu Fahrezy,2
Movie,Adnan Haskovic,6
Movie,Adnan Jaffar,6
Movie,Adnan Malik,6
Movie,Adnan Shah,20
Movie,Adnan Siddiqui,3
Movie,Adora Dei,1
Movie,Adreea Diac,1
Movie,Adria Arjona,3
Movie,Adrian Alonso,2
Movie,Adrian Dunbar,9
Movie,Adrian Edmondson,3
Movie,Adrian Glynn McMorran,2
Movie,Adrian Grenier,3
Movie,Adrian Hall,6
Movie,Adrian Holmes,1
Movie,Adrian Knight Jesly,3
Movie,Adrian Ladron,12
Movie,Adrian Martinez,4
Movie,Adrian Murray,2
Movie,Adrian Pang,3
Movie,Adrian Pasdar,7
Movie,Adrian Paul,4
Movie,Adrian Petriw,2
Movie,Adrian Schiller,18
Movie,Adriana Altaras,2
Movie,Adriana Barraza,6
Movie,Adriana Ozores,3
Movie,Adriana Paz,8
Movie,Adriana Torrebejano,6
Movie,Adriana Ugarte,6
Movie,Adriane Daff,6
Movie,Adriane Lenox,2
Movie,Adrianna Biedrzyńska,12
Movie,Adrianna Edwards,2
Movie,Adrianne Palicki,3
Movie,Adriano Qalbi,3
Movie,Adriano Tardiolo,12
Movie,Adrien Barazzone,6
Movie,Adrien Brody,20
Movie,Adrienne Bailon,3
Movie,Adrienne Barbeau,4
Movie,Adrienne Pickering,6
Movie,Adrienne Rose White,2
Movie,Adrienne Shaw,6
Movie,Adrià Salazar,2
Movie,Adrián Lastra,2
Movie,Adrián Núñez,2
Movie,Adrián Salzedo,6
Movie,Adrián Stoppelman,2
Movie,Adrián Uribe,6
Movie,Adrián Yospe,4
Movie,Adám Fekete,3
Movie,Adèle Exarchopoulos,10
Movie,Adèle Haenel,8
Movie,Adèle Wismes,3
Movie,Aegina De Vas,9
Movie,Aenne Schwarz,2
Movie,Afaf Rashad,2
Movie,Afdhal Yusman,2
Movie,Afeez Oyetoro,3
Movie,Affif Ben Badra,2
Movie,Affion Crockett,1
Movie,Aftab Khan,3
Movie,Aftab Shivdasani,11
Movie,Aga Muhlach,6
Movie,Agata Buzek,4
Movie,Agata Kulesza,10
Movie,Aggeliki Papoulia,15
Movie,Aggy K. Adams,2
Movie,Agha,9
Movie,Agnello Dias,3
Movie,Agnes Kittelsen,30
Movie,Agnes Moorehead,4
Movie,Agnese Graziani,12
Movie,Agnieszka Dygant,3
Movie,Agustín Aristarán,1
Movie,Agustín Bernal,3
Movie,Agustín Jiménez,2
Movie,Agustín Silva,15
Movie,Agyness Deyn,13
Movie,Ahd,6
Movie,Ahlam Al-Gritly,2
Movie,Ahmad Faloks,2
Movie,Ahmad Thaher,9
Movie,Ahmad Wafiq,3
Movie,Ahmed Abdelhafiz,9
Movie,Ahmed Adel,2
Movie,Ahmed Ali Khan,6
Movie,Ahmed Awni,3
