type,director,n
Movie,Andrew Wessels,33
Movie,Andrzej Bartkowiak,11
Movie,André D'Elia,2
Movie,André Øvredal,42
Movie,Andrés Couturier,40
Movie,Andy Caballero,30
Movie,Andy Capper,6
Movie,Andy Fickman,35
Movie,Andy Goddard,8
Movie,Andy Serkis,78
Movie,Andy Tennant,92
Movie,Anees Bazmee,119
Movie,Ang Lee,120
Movie,Angelina Jolie,20
Movie,Angga Dwimas Sasongko,71
Movie,Anggy Umbara,10
Movie,Anik Datta,4
Movie,Anil Sharma,30
Movie,Anil Thomas,10
Movie,Anil V. Kumar,15
Movie,Aniruddha Roy Chowdhury,22
Movie,Anita Barbosa,24
Movie,Anita Udeep,24
Movie,Anjum Shahzad,21
Movie,Ann Deborah Fishman,11
Movie,Anna Boden,14
Movie,Anne Fletcher,36
Movie,Anne Fontaine,98
Movie,Annie Clark,24
Movie,Anthony Abrams,12
Movie,Anthony Byrne,42
Movie,Anthony Caronna,2
Movie,Anthony Chan,15
Movie,Anthony D'Souza,63
Movie,Anthony Giordano,1
Movie,Anthony Minghella,20
Movie,Anthony Palmer,1
Movie,Anthony Pierce,1
Movie,Anthony Russo,56
Movie,Anthony Scott Burns,28
Movie,Anthony Veiller,4
Movie,Anthony Wonke,3
Movie,Antoine Bardou-Jacquet,48
Movie,Antoine Fuqua,60
Movie,Antoinette Jadaone,34
Movie,Antongiulio Panizzi,4
Movie,Antoni Krauze,16
Movie,Antonin Baudry,30
Movie,Antonio Campos,40
Movie,Antonio Chavarrías,78
Movie,Antonio Morabito,32
Movie,Antonio Piazza,72
Movie,Antonio Serrano,54
Movie,Anu Menon,38
Movie,Anubhav Sinha,30
Movie,Anurag Basu,75
Movie,Anurag Kashyap,138
Movie,Anurag Singh,32
Movie,Anuranjan Premji,14
Movie,Anusha Rizvi,30
Movie,Apoorva Lakhia,69
Movie,April Mullen,24
Movie,Archie Borders,18
Movie,Ari Folman,210
Movie,Ari Levinson,1
Movie,Ari Sandel,38
Movie,Ariel Vromen,54
Movie,Arjun Gourisaria,2
Movie,Arjun Jandyala,9
Movie,Arnab Chaudhuri,24
Movie,Arne Birkenstock,4
Movie,Artemis Joukowsky,2
Movie,Arthur Allan Seidelman,5
Movie,Arthur Muhammad,8
Movie,Arun Chidambaram,24
Movie,Arun Vaidyanathan,24
Movie,Aruna Raje,12
