type,director,n
Movie,Gail Willumsen,1
Movie,Gajendra Ahire,84
Movie,Galley Molina,3
Movie,Ganesh Kadam,20
Movie,Gangadhar Salimath,18
Movie,Gareth Evans,90
Movie,Gareth Sacala,2
Movie,Garin Nugroho,6
Movie,Gary Binkow,2
Movie,Gary Cohen,8
Movie,Gary David Goldberg,13
Movie,Gary Fleder,8
Movie,Gary Howsam,16
Movie,Gary Mak,8
Movie,Gary Michael Schultz,18
Movie,Gary Shore,28
Movie,Gary Wang,16
Movie,Gary Wheeler,24
Movie,Gary Young,8
Movie,Gaspar Noé,60
Movie,Gastón Duprat,90
Movie,Gaurav Bavdankar,24
Movie,Gaurav Narayanan,18
Movie,Gauravv K Chawla,20
Movie,Gauri Shinde,36
Movie,Gautier & Leduc,1
Movie,Gavin Fitzgerald,2
Movie,Gavin O'Connor,126
Movie,Gavin Yap,28
Movie,Gayane Petrosyan,8
Movie,Gaëtan Brizzi,70
Movie,Geetu Mohandas,12
Movie,Genevieve Nnaji,15
Movie,Genndy Tartakovsky,22
Movie,Geoff Anderson,10
Movie,Geoffrey Orthwein,30
Movie,George C. Wolfe,40
Movie,George Clooney,48
Movie,George Mendeluk,7
Movie,Gerard Barrett,63
Movie,Gerard McMurray,32
Movie,Gerardo Olivares,42
Movie,Gerry Hoban,6
Movie,Gervasio Iglesias,3
Movie,Geun-hyun Cho,30
Movie,Gianfranco Rosi,8
Movie,Gideon Raff,40
Movie,Gil Kenan,24
Movie,Gilbert Chan,18
Movie,Gilles Paquet-Brenner,108
Movie,Gillian Armstrong,12
Movie,Gillian Robespierre,44
Movie,Girish Joshi,24
Movie,Girish Malik,24
Movie,Girish Mohite,24
Movie,Giulia Clark,1
Movie,Giulio Base,12
Movie,Glen Goei,28
Movie,Glenn Miller,10
Movie,Golam Kibria Farooki,30
Movie,Gonzalo Bendala,21
Movie,Gonzalo López-Gallego,58
Movie,Gordon Chan,28
Movie,Gordon Parks,24
Movie,Gore Verbinski,20
Movie,Graham Townsley,1
Movie,Grant Heslov,24
Movie,Grant Korgan,2
Movie,Grant S. Johnson,10
Movie,Grant Sputore,12
Movie,Greg Coolidge,20
Movie,Greg MacGillivray,2
Movie,Greg Mottola,20
Movie,Greg Pritikin,14
Movie,Greg Richardson,10
Movie,Greg Strause,20
Movie,Greg Whiteley,1
Movie,Greg Young,1
Movie,Gregg Bishop,10
Movie,Gregory Caruso,30
Movie,Gregory Hoblit,85
Movie,Griffin Dunne,40
Movie,Guilherme Fontes,16
Movie,Guillaume Renard,60
Movie,Guillermo del Toro,96
Movie,Gulzar,12
Movie,Guntur Soeharjanto,27
Movie,Gupse Özay,16
Movie,Gurinder Chadha,36
Movie,Gurmmeet Singh,18
Movie,Gurudev Bhalla,39
Movie,Gurvinder Singh,54
Movie,Gus Van Sant,41
Movie,Guy Ritchie,84
Movie,Habib Faisal,16
Movie,Hadi El Bagoury,45
Movie,Haifaa Al-Mansour,15
Movie,Haissam Hussain,20
Movie,Hajime Kamegaki,69
Movie,Hakan Algül,131
Movie,Hakan Yonat,24
Movie,Halder Gomes,1
Movie,Ham Tran,18
Movie,Han Han,21
Movie,Han Yan,27
Movie,Hang-Jun Jang,30
Movie,Hani Hamdi,30
Movie,Hannah Fidell,27
Movie,Hannes Stöhr,30
Movie,Hanno Olderdissen,30
Movie,Hans Petter Moland,117
Movie,Hanung Bramantyo,77
Movie,Haoling Li,48
Movie,Harald Zwart,40
Movie,Hari Nath,15
Movie,Hari Viswanath,14
Movie,Harjit Singh,16
Movie,Hark Tsui,36
Movie,Harmony Korine,60
Movie,Harold Cronk,30
Movie,Harrison Smith,16
Movie,Harry Baweja,3
Movie,Harry Chaskin,10
Movie,Harvey Lilley,1
Movie,Harvey Lowry,29
Movie,Hasan Aljaberi,24
Movie,Hasan Karacadağ,48
Movie,Hashim Nadeem Khan,16
Movie,Hasraf Dulull,6
Movie,Hassan Hegazy,24
Movie,Hatem Khraiche,24
Movie,Hayao Miyazaki,27
Movie,Hayden Schlossberg,22
Movie,Heber Cannon,3
Movie,Heidi Ewing,9
Movie,Heidi Saman,22
Movie,Heitor Dhalia,8
Movie,Hemant Gaba,24
Movie,Henrik Martin Dahlsbakken,12
Movie,Henrik Ruben Genz,88
Movie,Henry Hathaway,18
Movie,Henry Sarwer-Foner,8
Movie,Henry Selick,8
Movie,Hepi Mita,1
Movie,Herman Yau,38
Movie,Hernán Belón,48
Movie,Hideaki Anno,81
Movie,Hideki Futamura,24
Movie,Hidetaka Inazuka,4
Movie,Hiromasa Yonebayashi,18
Movie,Hiroshi Aoyama,9
Movie,Hiroshi Katagiri,36
Movie,Hiroshi Yamazaki,24
Movie,Hirotsugu Kawasaki,27
Movie,Hiroyuki Seshita,108
Movie,Holger Tappe,12
Movie,Hong-seon Kim,3
Movie,Houda Benyamina,36
Movie,Howard Zieff,10
Movie,Hoyt Yeatman,32
Movie,Hrishikesh Mukherjee,111
Movie,Hsu Chih-yen,12
Movie,Hua Shan,15
Movie,Huang Jianming,10
Movie,Huang Lei,27
Movie,Hugh Stewart,4
Movie,Hugh WIlson,15
Movie,Hugo Stuven,9
Movie,Hugues Nancy,2
Movie,Husam El-Gohari,18
Movie,Huw Cordey,1
Movie,Hèctor Hernández Vicens,16
Movie,Iain Softley,90
Movie,Ian Edelman,20
Movie,Ian Kirby,16
Movie,Ian MacAllister-McDonald,16
Movie,Ian MacNaughton,25
Movie,Ian Nelms,13
Movie,Ian Samuels,22
Movie,Ibai Abad,12
Movie,Ibrahim Bin Mohamed,48
Movie,Icíar Bollaín,72
Movie,Ifa Isfansyah,36
Movie,Igor Kovalyov,30
Movie,Ildiko Enyedi,30
Movie,Iman Brotoseno,12
Movie,Imtiaz Ali,84
Movie,Indra Kumar,81
Movie,Indrajit Nattoji,18
Movie,Indrasis Acharya,8
Movie,Ippsie Jones,10
Movie,Ira Sachs,66
Movie,Isa Campo,32
Movie,Isaac Ezban,63
Movie,Isaac Florentine,36
Movie,Isaac Rentz,30
Movie,Isabel Coixet,48
Movie,Isabelle Nanty,1
Movie,Isaki Lacuesta,32
Movie,Isao Yukisada,12
Movie,Ishaan Trivedi,16
Movie,Ishaya Bako,6
Movie,Ishi Rudell,106
Movie,Ismail Farouk,10
Movie,Israel Adrián Caetano,97
Movie,Ivan Ayr,24
Movie,Ivan Reitman,53
Movie,Ivan Sen,9
Movie,Ivona Juka,80
Movie,Iwao Takamoto,26
Movie,Iñaki Dorronsoro,16
Movie,J. Davis,21
Movie,J. Michael Long,1
Movie,J.C. Chandor,42
Movie,J.C. Falcón,32
Movie,J.D. Dillard,15
Movie,J.F. Musial,1
Movie,J.M. Berrios,16
Movie,Jacek Koprowicz,60
Movie,Jack C. Newell,8
Movie,Jack Starrett,10
Movie,Jack Zagha Kababie,6
Movie,Jackie van Beek,30
Movie,Jacob Joice,11
Movie,Jacob Kornbluth,2
Movie,Jacob Schwab,2
Movie,Jacques Cluzaud,40
Movie,Jacques Perrin,40
Movie,Jacqui Morris,2
Movie,Jadesola Osiberu,24
Movie,Jagdeep Sidhu,30
Movie,Jaivi Dhanda,24
Movie,Jake Paltrow,1
Movie,Jake Szymanski,5
Movie,Jakob Lass,30
Movie,Jalil Lespert,102
Movie,Jamal Hill,8
Movie,James Barr,7
Movie,James Brown,8
Movie,James Dearden,10
Movie,James Duffy,39
Movie,James Foley,10
Movie,James Gunn,39
Movie,James Ivory,90
Movie,James L. Brooks,16
Movie,James Mangold,20
Movie,James Marsh,48
Movie,James McTeigue,119
Movie,James Ponsoldt,46
Movie,James Rogan,8
Movie,James Spinney,6
Movie,James Toback,8
Movie,James Wan,72
Movie,James Wong,52
Movie,James Woodroffe,6
Movie,James Yukich,17
Movie,Jami,54
Movie,Jamie M. Dagg,60
Movie,Jan Suter,27
Movie,Jang Jae-hyun,18
Movie,Jani Lachauer,14
Movie,Janusz Majewski,57
Movie,Jared Cohn,24
Movie,Jared Hess,40
Movie,Jared Stern,18
Movie,Jarrad Paul,16
Movie,Jasbir Bijendra Bhati,24
Movie,Jasmine D'Souza,24
Movie,Jason Bourque,18
Movie,Jason James,21
Movie,Jason Krawczyk,32
Movie,Jason Kwan,42
Movie,Jason Lai,30
Movie,Jason Moore,33
Movie,Jason Paul Laxamana,27
Movie,Jason Priestley,18
Movie,Jason Reitman,60
Movie,Jason Stone,14
Movie,Jason Sussberg,5
Movie,Jason Winer,20
Movie,Jathin Sanker Raj,16
Movie,Jatla Siddartha,18
Movie,Javier Ambrossi,33
Movie,Javier Calvo,33
Movie,Javier Ruiz Caldera,57
Movie,Jay Baruchel,30
Movie,Jay Chandrasekhar,20
Movie,Jay Chapman,18
Movie,Jay Chou,42
Movie,Jay Karas,15
Movie,Jay Roach,71
Movie,Jay Russell,30
Movie,Jay Surridge,9
Movie,Jayan Vannery,6
Movie,Jayaprakash Radhakrishnan,12
Movie,Jayaraj Rajasekharan Nair,10
Movie,Jayson Thiessen,52
Movie,Jazz Boon,66
Movie,Jean-Bernard Marlin,24
Movie,Jean-Claude La Marre,10
Movie,Jean-François Blais,1
Movie,Jean-Loup Felicioli,66
Movie,Jean-Marc Vallée,30
Movie,Jean-Patrick Benes,24
Movie,Jean-Pierre Dardenne,32
Movie,Jeannie Gaffigan,1
Movie,Jeannot Szwarc,16
Movie,Jedd Wider,1
Movie,Jee-woon Kim,24
Movie,Jeeva,30
Movie,Jeff Baena,83
Movie,Jeff Garlin,10
Movie,Jeff Gill,9
Movie,Jeff Margolis,1
Movie,Jeff Tremaine,28
Movie,Jeff Wadlow,26
Movie,Jeffrey G. Hunt,11
Movie,Jeffrey Nachmanoff,28
Movie,Jeffrey W. Byrd,40
Movie,Jeffrey Walker,56
Movie,Jehane Noujaim,90
Movie,Jelle de Jonge,14
Movie,Jenna Laurenzo,16
Movie,Jennifer Baichwal,18
Movie,Jennifer Beamish,1
Movie,Jennifer Brea,6
Movie,Jennifer Kaytin Robinson,24
Movie,Jennifer Lee,15
Movie,Jennifer Lynch,60
Movie,Jennifer M. Kroot,16
Movie,Jennifer Morrison,72
Movie,Jennifer Phang,30
Movie,Jennifer Westcott,6
Movie,Jenny Carchman,1
Movie,Jenny Gage,22
Movie,Jenée LaMarque,15
Movie,Jeremiah Jones,16
Movie,Jeremiah Zagar,20
Movie,Jeremy David White,22
Movie,Jeremy Kenyon Lockyer Corbell,1
Movie,Jeremy Konner,8
Movie,Jeremy Rush,7
Movie,Jeremy Saulnier,111
Movie,Jerrold Tarog,54
Movie,Jerry G. Angelo,12
Movie,Jerry Seinfeld,1
Movie,Jesse Allain-Marcus,12
Movie,Jesse Gustafson,8
Movie,Jesse Handsher,2
Movie,Jesse Johnson,54
Movie,Jesse Peretz,33
Movie,Jesse V. Johnson,106
Movie,Jessica Yu,1
Movie,Jesús Magaña Vázquez,30
Movie,Jesús Torres Torres,26
Movie,Jevons Au,9
Movie,Jill Culton,20
Movie,Jim Fall,30
Movie,Jim Field Smith,22
Movie,Jim Gable,1
Movie,Jim Henson,18
Movie,Jim Mickle,18
Movie,Jim Monaco,20
Movie,Jim Stenstrum,9
Movie,Jim Strouse,30
Movie,Jimmy Henderson,14
Movie,Jitender Pawar,14
Movie,Jitendra Tiwari,16
Movie,Joachim Rønning,150
Movie,Joan C. Gratz,70
Movie,Joann Sfar,70
Movie,Joanna Lombardi,18
Movie,Joaquín Mazón,24
Movie,Jocelyn Moorhouse,40
Movie,Jody Hill,15
Movie,Jody Lambert,20
Movie,Joe Berlinger,23
Movie,Joe Boyd,6
Movie,Joe Camp,39
Movie,Joe Dante,33
Movie,Joe DeMaio,1
Movie,Joe Dietsch,20
Movie,Joe Johnston,15
Movie,Joe Ksander,54
Movie,Joe Lynch,14
Movie,Joe Menendez,5
Movie,Joe Miale,20
Movie,Joe Murray,18
Movie,Joe Roth,20
Movie,Joe Russo,56
Movie,Joe Swanberg,15
Movie,Joel Coen,84
Movie,Joel Crawford,30
Movie,Joel Oliansky,8
Movie,Joel Schumacher,54
Movie,Joey Curtis,33
Movie,Joey Kern,8
Movie,Johan Brisinger,21
Movie,Johannes Roberts,54
Movie,John A. Davis,36
Movie,John Asher,20
Movie,John Banas,9
Movie,John Barnard,36
Movie,John Butler,33
Movie,John Carchietta,18
Movie,John Crowley,44
Movie,John Curran,18
Movie,John Dahl,70
Movie,John Dower,1
Movie,John Duigan,34
Movie,John Erick Dowdle,20
Movie,John Ford,4
Movie,John Fortenberry,22
Movie,John G. Avildsen,43
Movie,John H. Lee,18
Movie,John Herzfeld,8
Movie,John Hillcoat,11
Movie,John Hughes,36
Movie,John Huston,6
Movie,John Irvin,28
Movie,John Kahrs,15
Movie,John L. Spencer,1
Movie,John Lee,33
Movie,John Lee Hancock,152
Movie,John Luessenhop,12
Movie,John Lyde,10
Movie,John Maclean,48
Movie,John Michael McDonagh,18
Movie,John Mikulak,4
Movie,John Milius,20
Movie,John Murlowski,30
Movie,John Musker,39
Movie,John Papola,1
Movie,John Patrick Shanley,20
Movie,John Paul Tremblay,44
Movie,John R. Leonetti,16
Movie,John Sanford,12
Movie,John Scheinfeld,20
Movie,John Schlesinger,20
Movie,John Schultz,66
Movie,John Stephenson,32
Movie,John Stewart Muller,16
Movie,John Stockwell,21
Movie,John Sturges,4
Movie,John Trengove,120
Movie,John Upchurch,6
Movie,John Voorhees,48
Movie,John Wells,20
Movie,John Woo,28
Movie,Johnnie To,209
Movie,Johnny Castuciano,16
Movie,Johnny Kevorkian,14
Movie,Johnny To,18
Movie,Johnson Esthappan,8
Movie,Jon Avnet,16
Movie,Jon Carey,6
Movie,Jon Freeman,2
Movie,Jon Garaño,12
Movie,Jon Gunn,12
Movie,Jon Hurwitz,22
Movie,Jon J. Whelan,1
Movie,Jon Lucas,11
Movie,Jon M. Chu,15
Movie,Jon Olb,1
Movie,Jon Rosenbaum,28
Movie,Jon Spira,10
Movie,Jon Turteltaub,14
Movie,Jon Watts,8
Movie,Jon YonKondy,20
Movie,Jonathan A. Rosenbaum,16
Movie,Jonathan Baker,14
Movie,Jonathan Demme,53
Movie,Jonathan Glazer,99
Movie,Jonathan Helpert,6
Movie,Jonathan Hensleigh,57
Movie,Jonathan Levine,42
Movie,Jonathan Milott,14
Movie,Jonathan Mostow,90
Movie,Jonathan Sobol,54
Movie,Jonathan Taylor,1
Movie,Jonathan van Tulleken,39
Movie,Jonás Trueba,15
Movie,Joram Lürsen,34
Movie,Jordan Brady,3
Movie,Jordan Ross,16
Movie,Jordi Llompart,18
Movie,Jorge Blanco,90
Movie,Jorge Hernandez Aldana,22
Movie,Jorge M. Fontana,18
Movie,Jorge Michel Grau,12
Movie,Joris Ivens,4
Movie,Joseduardo Giordano,24
Movie,Joseph Chou,24
Movie,Joseph Martin,24
Movie,Joseph Mbah,24
Movie,Joseph Sargent,10
Movie,Josh Alexander,1
Movie,Josh Greenbaum,30
Movie,Josh Koury,1
Movie,Josh Lowell,8
Movie,Josh Mendoza,20
Movie,Josh Vietze,1
Movie,Josh Wakely,20
Movie,Josh Webber,20
Movie,Joshua Brown,4
Movie,Joshua Caldwell,27
Movie,Joshua Marston,24
Movie,José Eduardo Belmonte,18
Movie,José Luis Gutiérrez,12
Movie,José Ortuño,24
Movie,Jota Linares,22
Movie,Jovanka Vuckovic,24
Movie,Joyce Bernal,63
Movie,Juan Antin,15
Movie,Juan Antonio de la Riva,28
Movie,Juan Carlos Rulfo,3
Movie,Juan Pablo Buscarini,66
Movie,Juan Zapata,72
Movie,Juani Libonatti,1
Movie,Judah Friedlander,1
Movie,Julia Hart,12
Movie,Julian Jarrold,28
Movie,Julie Dash,60
Movie,Julie Taymor,48
Movie,Julien Abraham,21
Movie,Julien Christian Lutz,22
Movie,Julien Leclercq,20
Movie,Julien Rambaldi,21
Movie,Julien Seri,8
Movie,Julio Medem,33
Movie,Julio Soto Gurpide,72
Movie,Julius Avery,72
Movie,Julius Onah,20
Movie,Julius R. Nasso,16
Movie,July Hygreck,21
Movie,Jun Falkenstein,9
Movie,Jun Lana,8
Movie,Jun-seong Kim,18
Movie,Jung Ji-woo,24
Movie,Jung-woo Park,30
Movie,Justin Bare,1
Movie,Justin Benson,18
Movie,Justin Chon,16
Movie,Justin G. Dyck,55
Movie,Justin Kelly,20
Movie,Justin Krook,2
Movie,Justin McConnell,21
Movie,Jérémy Clapin,18
Movie,Jørgen Lerdam,6
Movie,K. Gopinathan,14
Movie,K. Rajagopal,36
Movie,K. Ramanlal,18
Movie,K. Subhash,30
Movie,K.C. Bokadia,24
Movie,KVR Mahendra,9
Movie,Kabir Bhatia,39
Movie,Kabir Khan,12
Movie,Kabir Sadanand,39
Movie,Kader Aoun,1
Movie,Kagiso Lediga,12
Movie,Kaila York,16
Movie,Kaizad Gustad,30
Movie,Kalvadour Peterson,24
Movie,Kamal Sahani,30
Movie,Kang Cheng,12
Movie,Kanwal Sethi,54
Movie,Karan Anshuman,24
Movie,Karan Johar,81
Movie,Karan Shivajirao Chavan,24
Movie,Karen J. Lloyd,24
Movie,Karen Moncrieff,22
Movie,Karey Kirkpatrick,72
Movie,Karim El Sobky,26
Movie,Karl Mueller,20
Movie,Karthik Subbaraj,36
Movie,Karyn Kusama,82
Movie,Kasia Uscinska,4
Movie,Kaspar Astrup Schröder,1
Movie,Kasper Barfoed,60
Movie,Kasra Farahani,27
Movie,Katarina Launing,72
Movie,Kate Horne,2
Movie,Kate Melville,20
Movie,Katherine Brooks,24
Movie,Katherine Dieckmann,14
Movie,Katherine Fairfax Wright,3
Movie,Kathleen Hepburn,40
Movie,Kathryn Bigelow,80
Movie,Katia Lund,81
Movie,Kavi Raz,60
Movie,Kazuaki Kiriya,18
Movie,Kazuchika Kise,90
Movie,Kazumi Fukushima,9
Movie,Kazuya Tsurumaki,42
Movie,Keanu Reeves,48
Movie,Kedar Shinde,21
Movie,Keegan Kuhn,1
Movie,Keenen Ivory Wayans,32
Movie,Keerthi,24
Movie,Kees Van Oostrum,24
Movie,Keiichi Hara,16
Movie,Keiichi Sato,42
Movie,Keith L. Smith,9
Movie,Keith Scholey,2
Movie,Kelly Duane de la Vega,2
Movie,Kelly Fremon Craig,24
Movie,Kelly Noonan,8
Movie,Kelly Reichardt,24
Movie,Kemi Adetiba,43
Movie,Ken Barbet,16
Movie,Ken Burns,3
Movie,Ken Ghosh,24
Movie,Ken Hughes,90
Movie,Ken Kushner,24
Movie,Ken Kwapis,40
Movie,Ken Loach,48
Movie,Ken Marino,26
Movie,Kenneth Müller,12
Movie,Kenny Leon,4
Movie,Kenny Young,28
Movie,Keoni Waxman,20
Movie,Kepa Sojo,28
Movie,Kery James,8
Movie,Ketan Mehta,127
Movie,Ketche,24
Movie,Kevin Booth,1
Movie,Kevin Bray,1
Movie,Kevin Derek,8
Movie,Kevin Deters,15
Movie,Kevin Donovan,18
Movie,Kevin Kolsch,28
Movie,Kevin Layne,2
Movie,Kevin Lima,9
Movie,Kevin MacDonald,91
Movie,Kevin Munroe,44
Movie,Kevin Peeples,18
Movie,Kevin Phillips,24
Movie,Kevin R. Adams,54
Movie,Kevin Reynolds,5
Movie,Kevin Smith,154
Movie,Khaled El Halafawy,28
Movie,Khaled Marei,40
Movie,Khaled Youssef,10
Movie,Khalid Kashogi,24
Movie,Khalid Mohamed,30
Movie,Kheiron,54
Movie,Kieran Darcy-Smith,7
Movie,Kike Maíllo,21
Movie,Kiko Mistrorigo,3
Movie,Kim Jee-woon,33
Movie,Kim Joo-hyung,1
Movie,Kim Nguyen,12
Movie,Kim Sung-hoon,30
Movie,Kimo Stamboel,18
Movie,Kip Andersen,1
Movie,Kiran Rao,20
Movie,Kirati Nakintanon,12
Movie,Kireet Khurana,2
Movie,Kleber Mendonça Filho,32
Movie,Kobun Shizuno,78
Movie,Koichi Mashimo,24
Movie,Koichi Sakamoto,8
Movie,Koji Sawai,24
Movie,Kookie V. Gulati,42
Movie,Kranti Kanade,18
Movie,Kranti Redkar,15
Movie,Krish,24
Movie,Krishna D.K.,30
Movie,Krishna Vamshi,30
Movie,Krishnendu Chattopadhyay,30
Movie,Kristian Levring,150
Movie,Kristin Hanggi,21
Movie,Kristina Goolsby,2
Movie,Krzysztof Zanussi,24
Movie,Ksshitij Chaudhary,51
Movie,Kubilay Sarikaya,30
Movie,Kunal Deshmukh,21
Movie,Kunal Kohli,32
Movie,Kundan Shah,96
Movie,Kunihiko Yuyama,14
Movie,Kunle Afolayan,173
Movie,Kuntz Agus,30
Movie,Kurt Voelker,14
Movie,Kurt Wimmer,24
Movie,Kushal Srivastava,24
Movie,Kyle Newacheck,36
Movie,Kyle Newman,28
Movie,Kyle Patrick Alvarez,30
Movie,Kyle Rankin,20
Movie,Kyle Rideout,20
Movie,Kyran Kelly,7
Movie,Kyzza Terrazas,54
Movie,Kıvanç Baruönü,95
Movie,L. Frazier,1
Movie,Ladislas Chollat,36
Movie,Lana Wachowski,226
Movie,Lance Bangs,7
Movie,Larry Elikann,12
Movie,Larry Latham,24
Movie,Lars Büchel,20
Movie,Lars von Trier,336
Movie,Lasse Hallström,93
Movie,Latif Faiziyev,132
Movie,Laura Alvea,24
Movie,Laura VanZee Taylor,1
Movie,Lauren Hoekstra,22
Movie,Lauren MacMullan,15
Movie,Lauren Miller Rogen,20
Movie,Laurent Cantet,20
Movie,Law Wing-cheong,48
Movie,Lawrence Cheng,27
Movie,Lawrence Kasdan,13
Movie,Laxman Utekar,21
Movie,Le Van Kiet,15
Movie,Lea Glob,150
Movie,Leandro Mark,18
Movie,Leanne Gater,1
Movie,Lee Chang-dong,18
Movie,Lee Jeong-beom,30
Movie,Lee Seung-won,18
Movie,Lee Tamahori,93
Movie,Leena Yadav,75
Movie,Leif Tilden,24
Movie,Lekh Tandon,84
Movie,Lena Khan,27
Movie,Lenin Bharathi,18
Movie,Lennart Ruff,108
Movie,Lenny Abrahamson,80
Movie,Leo Riley,26
Movie,Leopoldo Aguilar,14
Movie,Les Mayfield,16
Movie,Lesli Linka Glatter,12
Movie,Leslie Iwerks,1
Movie,Leslie Small,36
Movie,Leslye Headland,21
Movie,Leung Lok Man,48
Movie,Lev L. Spiro,11
Movie,Levan Tsikurishvili,6
Movie,Lewis Milestone,45
Movie,Leïla Sy,8
Movie,Li Jun,12
Movie,Li Pei-Chuan,12
Movie,Liam Lynch,1
Movie,Liam O'Donnell,108
Movie,Lijo Jose Pellissery,33
Movie,Lilibet Foster,2
Movie,Lilly Wachowski,226
Movie,Linas Phillips,27
Movie,Linda Mendoza,3
Movie,Linda Otto,3
Movie,Linda Saffire,14
Movie,Lionel C. Martin,11
Movie,Lisa Arnold,21
Movie,Liu Jiang,12
Movie,Liu Jie,14
Movie,Liv Ullmann,32
Movie,Liz Plonka,1
Movie,Llewellyn M. Smith,1
Movie,Logan Kibens,30
Movie,Lone Scherfig,62
Movie,Lonny Price,5
Movie,Lorene Machado,1
Movie,Lori Kaye,14
Movie,Lotje Sodderland,4
Movie,Louie Gibson,20
Movie,Louie Psihoyos,26
Movie,Louis J. Horvitz,16
Movie,Louis Leterrier,54
Movie,Louise Alston,20
Movie,Louise Wardle,4
Movie,Lu Yang,12
Movie,Luc Dardenne,32
Movie,Luc Vinciguerra,50
Movie,Lucas Figueroa,28
Movie,Lucien Jean-Baptiste,36
Movie,Lucky Kuswandi,21
Movie,Lucky McKee,7
Movie,Lucy van Beek,1
Movie,Ludovic Bernard,18
Movie,Luis Estrada,24
Movie,Luis Javier Henaine,30
Movie,Luis Javier M. Henaine,18
Movie,Luis Prieto,9
Movie,Luis Valdez,30
Movie,Luk Kim-ching,48
Movie,Lukas Dhont,60
Movie,Luke Jurevicius,2
Movie,Luke Kenny,8
Movie,Luke Radford,10
Movie,Luke Snellin,45
Movie,Luke Sparke,24
Movie,Luv Ranjan,36
Movie,Lydia Tenaglia,8
Movie,Lygia Barbosa da Silva,3
Movie,Lynn Shelton,76
Movie,Lô Politi,22
Movie,M. Night Shyamalan,20
Movie,M.J. Bassett,24
Movie,M.S. Prem Nath,16
Movie,Maciej Dejczer,60
Movie,Maclain Way,4
Movie,Macon Blair,24
Movie,Madeleine Parry,1
Movie,Madeleine Sami,30
Movie,Madhur Bhandarkar,96
Movie,Mads Matthiesen,21
Movie,Mae Czarina Cruz,91
Movie,Mag Hsu,12
Movie,Magdy Al-Hawwary,20
Movie,Mahesh Bhatt,21
Movie,Mahesh Manjrekar,62
Movie,Mahin Ibrahim,20
Movie,Mahmood Farooqui,30
Movie,Mahmoud Karim,30
Movie,Mahmoud Sabbagh,15
Movie,Mahmoud al Massad,54
Movie,Mahmudul Islam,30
Movie,Mahsun Kırmızıgül,52
Movie,Majid Al Ansari,36
Movie,Majid Majidi,48
Movie,Makarand Mane,20
Movie,Makoto Shinkai,30
Movie,Malik Bendjelloul,9
Movie,Malik Vitthal,7
Movie,Mamat Khalid,24
Movie,Mamoru Oshii,24
Movie,Manav Shah,30
Movie,Manbhavan Singh,12
Movie,Mandeep Kumar,24
Movie,Mandie Fletcher,4
Movie,Mandla Dube,12
Movie,Mangesh Hadawale,16
Movie,Mangesh Kanthale,24
Movie,Mani Ratnam,69
Movie,Manika Sharma,18
Movie,Manish Gupta,16
Movie,Manish Jha,42
Movie,Manish Tiwary,39
Movie,Manjeet Maan,27
Movie,Manjeet Singh,18
Movie,Manmohan Desai,24
Movie,Manny Rodriguez,4
Movie,Manoj Beedha,30
Movie,Manop Janjarasskul,12
Movie,Mansore,24
Movie,Manu Ashokan,16
Movie,Manuel Martín Cuenca,42
Movie,Manussa Vorasingha,16
Movie,Mar Targarona,52
Movie,Marc Abraham,22
Movie,Marc Forster,24
Movie,Marc Francis,2
Movie,Marc Levin,2
Movie,Marcel Barrena,60
Movie,Marcelo Galvão,53
Movie,Marcelo González,30
Movie,Marco Bonfanti,30
Movie,Marco Deufemia,18
Movie,Marco Dutra,22
Movie,Marco Risi,14
Movie,Marco Schnabel,54
Movie,Marcos Bucay,19
Movie,Marcus Nispel,11
Movie,Marcus Raboy,13
Movie,Marek Kanievska,120
Movie,Marek Piwowski,24
Movie,Maria Burton,14
Movie,Maria Pulera,6
Movie,Maria Ripoll,60
Movie,Maria Sadowska,18
Movie,Marianna Palka,36
Movie,Mariano Baez,1
Movie,Mariano Cohn,50
Movie,Marie Madinier,42
Movie,Marina Seresesky,24
Movie,Marina Willer,2
Movie,Mario Cambi,36
Movie,Mario Miscione,54
Movie,Mario Rouleau,1
Movie,Mario Van Peebles,10
Movie,Maris Curran,12
Movie,Marita Grabiak,32
Movie,Marja Lewis Ryan,18
Movie,Mark A.Z. Dippé,96
Movie,Mark Columbus,22
Movie,Mark Craig,1
Movie,Mark Dennis,20
Movie,Mark Dindal,26
Movie,Mark Franchetti,2
Movie,Mark Harris,9
Movie,Mark Helfrich,60
Movie,Mark Henn,15
Movie,Mark Herman,60
Movie,Mark Landre Gould,4
Movie,Mark Murphy,9
Movie,Mark O'Connor,20
Movie,Mark Osborne,12
Movie,Mark Palansky,30
Movie,Mark Raso,12
Movie,Mark Risley,24
Movie,Mark Ritchie,2
Movie,Mark Rosman,60
Movie,Mark Steven Johnson,40
Movie,Mark Waters,9
Movie,Mark Williams,16
Movie,Mark Zwonitzer,1
Movie,Marti Noxon,18
Movie,Martin Campbell,90
Movie,Martin Gorst,1
Movie,Martin Hodara,36
Movie,Martin Rosete,12
Movie,Martin Scorsese,230
Movie,Martin Zandvliet,18
Movie,Marty Callner,1
Movie,Mary Harron,72
Movie,Mary Mazzio,1
Movie,Maryo J. De los Reyes,63
Movie,María Jose Cuevas,10
Movie,Masahiko Murata,129
Movie,Massy Tadjedin,54
Movie,Mastan Alibhai Burmawalla,100
Movie,Mat Whitecross,15
Movie,Mateo Gil,24
Movie,Matheus Souza,33
Movie,Mathias Malzieu,40
Movie,Mathieu Auvray,6
